Ticker,Assets YoY Difference,Assets YoY % Change,Debt YoY Difference,Debt YoY % Change,Shares YoY Difference,Shares YoY % Change,Assets Change,Debt Change,Shares Change,Revenue YoY Difference,Revenue YoY % Change,Gross Profit YoY Difference,Gross Profit YoY % Change,Net Income YoY Difference,Net Income YoY % Change,Operating Expenses YoY Difference,Operating Expenses YoY % Change,Total Expenses YoY Difference,Total Expenses YoY % Change,Cost of Revenue YoY Difference,Cost of Revenue YoY % Change,Revenue Change,Gross Profit Change,Net Income Change,Operating Expenses Change,Total Expenses Change,Cost of Revenue Change,Operating Cash Flow YoY Difference,Operating Cash Flow YoY % Change,Operating Cash Flow Change,Free Cash Flow YoY Difference,Free Cash Flow YoY % Change,Free Cash Flow Change
MMM,4125000000.0,8.879560865353575,-913000000.0,-6.520962788372264,3336031.0,0.6073847485632111,Increase,Decrease,Increase,-1548000000.0,-4.522480937216978,-793000000.0,-5.287724211508971,-12772000000.0,-221.08360740868963,12576000000.0,117.94054206133357,11821000000.0,39.54172938618499,-755000000.0,-3.9257487520798717,Decrease,Decrease,Decrease,Increase,Increase,Decrease,1089000000.0,19.47773206939725,Increase,1223000000.0,31.832378969286836,Increase
AOS,-118400000.0,-3.5531014614530454,-217200000.0,-64.93273542600897,-3651752.0,-2.415514120177964,Decrease,Decrease,Decrease,98900000.0,2.6345933562428314,155200000.0,11.672683513838745,320900000.0,136.1476453118371,56500000.0,8.421523326874357,200000.0,0.00646161798913969,-56300000.0,-2.3223198449036864,Increase,Increase,Increase,Increase,Increase,Decrease,278900000.0,71.25702606029638,Increase,276600000.0,86.14138897539706,Increase
ABT,-1224000000.0,-1.64432144872243,-923000000.0,-6.355873846577609,-3718663.0,-0.21398743551814814,Decrease,Decrease,Decrease,-3544000000.0,-8.11857146129704,-2377000000.0,-9.697686752886458,-1210000000.0,-17.452762152026537,-493000000.0,-3.0528206080871922,-1660000000.0,-4.703748831146748,-1167000000.0,-6.096541636192665,Decrease,Decrease,Decrease,Decrease,Decrease,Decrease,-2320000000.0,-24.21459137877048,Decrease,-2745000000.0,-35.1742696053306,Decrease
ABBV,-4094000000.0,-2.9494614747307413,-6941000000.0,-11.737549674473657,-3240561.0,-0.18316726561545815,Decrease,Decrease,Decrease,-3736000000.0,-6.435387742446686,-6737000000.0,-16.577263779527563,-6973000000.0,-58.9134842852315,-1458000000.0,-6.680106295244204,1543000000.0,3.9322120285423035,3001000000.0,17.233260594923628,Decrease,Decrease,Decrease,Decrease,Increase,Increase,-2104000000.0,-8.43523232971174,Decrease,-2186000000.0,-9.015176509402833,Decrease
ACN,3981915000.0,8.424945819586792,-2800000.0,-6.101148323273698,-2902431.0,-0.45985109130581847,Increase,Decrease,Decrease,2517440000.0,4.087131107332076,1030068000.0,5.228363124322422,-5612000.0,-0.08160334579534467,1587360000.0,15.360025267171885,3074732000.0,5.887232082700944,1487372000.0,3.5504268207069423,Increase,Increase,Decrease,Increase,Increase,Increase,-16861000.0,-0.17671912831280778,Decrease,172965000.0,1.960358516721561,Increase
ADBE,2614000000.0,9.622676237805994,5000000.0,0.13777900248002073,-7000000.0,-1.5151515151515138,Increase,Increase,Decrease,1803000000.0,10.240826990798602,1614000000.0,10.452690887895866,672000000.0,14.129520605550884,1062000000.0,11.366798672803169,1251000000.0,10.870698644421273,189000000.0,8.729792147806004,Increase,Increase,Increase,Increase,Increase,Increase,-536000000.0,-6.838479203878545,Decrease,-454000000.0,-6.138453217955653,Decrease
AMD,305000000.0,0.45131695767979263,-750000000.0,-30.40129712201054,4000000.0,0.2481389578163684,Increase,Decrease,Increase,-921000000.0,-3.9023770179229644,-143000000.0,-1.34867490332925,-466000000.0,-35.303030303030305,720000000.0,7.709604882749765,-58000000.0,-0.259658861977885,-778000000.0,-5.985536236344058,Decrease,Decrease,Decrease,Increase,Decrease,Decrease,-1898000000.0,-53.2398316970547,Decrease,-1994000000.0,-64.01284109149277,Decrease
AES,6436000000.0,16.7765816020645,1006000000.0,4.627414903403859,949770.0,0.14202307029949068,Increase,Increase,Increase,51000000.0,0.40421653324880236,-44000000.0,-1.7268445839874413,795000000.0,-145.6043956043956,60000000.0,28.985507246376805,155000000.0,1.5083690151810103,95000000.0,0.9434899195550628,Increase,Decrease,Increase,Increase,Increase,Increase,319000000.0,11.749539594843462,Increase,-2854000000.0,155.44662309368192,Decrease
A,231000000.0,2.193315609570834,2000000.0,0.07317965605562193,-2876759.0,-0.9751725423728819,Increase,Increase,Decrease,-15000000.0,-0.21904205607476968,-257000000.0,-6.904889844169803,-14000000.0,-1.1164274322169043,11000000.0,0.5228136882129197,253000000.0,4.837476099426397,242000000.0,7.741522712731919,Decrease,Decrease,Decrease,Increase,Increase,Increase,460000000.0,35.0609756097561,Increase,453000000.0,44.36826640548481,Increase
APD,4809900000.0,17.688268131771135,2345500000.0,33.10141409579723,361149.0,0.16279801788954273,Increase,Increase,Increase,-98600000.0,-0.7764635471626757,406900000.0,12.10975863813577,44100000.0,1.954700589512881,80200000.0,8.463486703250322,-425300000.0,-4.134706059633874,-505500000.0,-5.413074904963322,Decrease,Increase,Increase,Increase,Decrease,Decrease,-23900000.0,-0.7398922667327112,Decrease,-1723800000.0,-567.5996048732302,Decrease
ABNB,4607000000.0,28.725526873675022,4000000.0,0.20130850528434774,7000000.0,1.1093502377178988,Increase,Increase,Increase,1518000000.0,18.073580188117646,1314000000.0,19.043478260869563,2899000000.0,153.1431590068674,1687000000.0,33.67937712118187,1891000000.0,29.056545789797173,204000000.0,13.609072715143423,Increase,Increase,Increase,Increase,Increase,Increase,454000000.0,13.236151603498536,Increase,454000000.0,13.236151603498536,Increase
AKAM,1596637000.0,19.228713539032192,1252971000.0,54.82842637461503,-5261908.0,-3.3623529101436844,Increase,Increase,Decrease,195266000.0,5.39907881705024,68022000.0,3.04644095958726,23957000.0,4.574810186528966,75644000.0,4.970708932543477,202888000.0,6.9826205407875985,127244000.0,9.195133178544301,Increase,Increase,Increase,Increase,Increase,Increase,73763000.0,5.786803862314827,Increase,-197975000.0,-24.25052733183566,Decrease
ALB,2814130000.0,18.20674793462591,326030000.0,10.14099034143998,188000.0,0.16045336610679417,Increase,Increase,Increase,2297099000.0,31.380688033940494,-1888678000.0,-61.42867318439842,-1116340000.0,-41.5024670832503,409092000.0,68.62508932675307,4594869000.0,94.90309384644841,4185777000.0,98.59286866593632,Increase,Decrease,Decrease,Increase,Increase,Increase,-582528000.0,-30.533234024285992,Decrease,-1470163000.0,-227.50791933804084,Decrease
ARE,1248003000.0,3.51318577369244,1055928000.0,10.393235589573857,1162204.0,0.6806529572356945,Increase,Increase,Increase,296737000.0,11.461620525909622,220710000.0,12.222222837520459,-418021000.0,-80.1328451481808,113403000.0,9.61511720975663,189430000.0,9.652105369623708,76027000.0,9.707809329722284,Increase,Increase,Decrease,Increase,Increase,Increase,336229000.0,25.977249847603503,Increase,336229000.0,25.977249847603503,Increase
ALLE,320300000.0,8.025155341751855,-479500000.0,-23.03184590998607,-348104.0,-0.39623562497062004,Increase,Decrease,Decrease,378900000.0,11.58042727467221,259100000.0,19.59316394434363,82400000.0,17.991266375545845,129600000.0,17.60869565217391,249400000.0,9.28691118972258,119800000.0,6.145165427032562,Increase,Increase,Increase,Increase,Increase,Increase,141100000.0,30.707290533188257,Increase,120900000.0,30.56890012642226,Increase
